Code,Title (NOS= Not Otherwise Specified)
2900 ,Dementia of the Alzheimers type with late onset Uncomplicated
29010 ,"Dementia of the Alzheimers type with early onset Uncomplicated, Dementia due to Pick's Disease or Creutzfeld-Jacob Disease"
29011 ,Dementia of the Alzheimers type with early onset With delirium
29012 ,Dementia of the Alzheimers type with early onset With Delusions
29013 ,Dementia of the Alzheimers type with early onset With Depressed Mood
29020 ,Dementia of the Alzheimers type with late onset With Delusions
29021 ,Dementia of the Alzheimers type with late onset With Depressed Mood
2903 ,Dementia of the Alzheimers type with late onset With Delirium
29040 ,Vascular Dementia Uncomplicated
29041 ,Vascular Dementia With Delirium
29042 ,Vascular Dementia With Delusions
29043 ,Vascular Dementia With Depressed Mood
2910 ,Alcohol Intoxication Delirium or Alcohol Withdrawal Delirium
2911 ,Alcohol-Induced Persisting Amnestic Disorder
2912 ,Alcohol-Induced Persisting Dementia
2913 ,Alcohol-Induced Psychotic Disorder With Hallucinations
2915 ,Alcohol-Induced Psychotic Disorder With Delusions
29181 ,Alcohol Withdrawal
29189 ,"Alcohol-Induced Anxiety, Mood or Sleep Disorder or Sexual Dysfunction"
2919 ,Alcohol-Related Disorder NOS
2920 ,"Substance Withdrawal, Sedative, Hypnotic or Anxiolytic Withdrawal"
29211 ,"Substance-Induced Psychotic Disorder, With Delusions"
29212 ,"Substance-Induced Psychotic Disorder, With Hallucinations"
29281 ,Substance Intoxication Delirium
29282 ,Substance-Induced Persisting Dementia
29283 ,Substance-Induced Persisting Amnestic Disorder
29284 ,Substance-Induced Mood Disorder
29289 ,"Substance-Induced Intoxication, Sleep, Anxiety, Sexual or Perception Disorder"
2929 ,Substance-Related Disorder NOS
2930 ,Delirium (Due to General Medical Condition)
29381 ,Psychotic Disorder (Due to General Medical Condition) With Delusions
29382 ,Psychotic Disorder (Due to General Medical Condition) With Hallucinations
29383 ,Mood Disorder (Due to General Medical Condition)
29384 ,Anxiety Disorder (Due to General Medical Condition)
29389 ,Catatonic Disorder (Due to General Medical Condition)
2939 ,Mental Disorder NOS (Due to General Medical Condition)
2940 ,Amnestic Disorder (Due to General Medical Condition)
2941 ,Dementia Due to HIV Infection or General Medical Condition
2948 ,Dementia NOS or Amnestic Disorder NOS
2949 ,Cognitive Disorder NOS
29510 ,Schizophrenia Disorganised Type
29520 ,Schizophrenia Catatonic Type
29530 ,Schizophrenia Paranoid Type
29540 ,Schizophreniform Disorder
29560 ,Schizophrenia Residual Type
29570 ,Schizoaffective Disorder
29590 ,Schizophrenia Undifferentiated Type
29600 ,"Bipolar I Disorder, Single Manic Episode Unspecified"
29601 ,"Bipolar I Disorder, Single Manic Episode Mild"
29602 ,"Bipolar I Disorder, Single Manic Episode Moderate"
29603 ,"Bipolar I Disorder, Single Manic Episode Severe without psychotic features"
29604 ,"Bipolar I Disorder, Single Manic Episode Severe with psychotic features"
29605 ,"Bipolar I Disorder, Single Manic Episode In partial remission"
29606 ,"Bipolar I Disorder, Single Manic Episode In full remission"
29620 ,"Major Depressive Disorder, Single Episode Unspecified"
29621 ,"Major Depressive Disorder, Single Episode Mild"
29622 ,"Major Depressive Disorder, Single Episode Moderate"
29623 ,"Major Depressive Disorder, Single Episode Severe without psychotic features"
29624 ,"Major Depressive Disorder, Single Episode Severe with psychotic features"
29625 ,"Major Depressive Disorder, Single Episode In partial remission"
29626 ,"Major Depressive Disorder, Single Episode In full remission"
